ticket_id,visitor_id,purchase_date,ticket_type,price,discount_pct,payment_method,valid_from,valid_until
38,277,2025-03-30 07:25:34.813985,Multi-Day,172.94,36,Cash,2025-04-21,2025-04-27
39,1807,2024-07-23 14:26:24.370967,Promo,50.6,2,Cash,2024-07-28,2024-07-31
40,2236,2025-03-25 23:23:37.205699,Multi-Day,162.33,31,Cash,2025-04-20,2025-04-23
41,1940,2025-06-29 21:05:04.753590,Promo,62.45,34,Mobile,2025-07-02,2025-07-04
42,2153,2024-01-17 09:23:35.934312,Day,90.51,18,Cash,2024-02-07,2024-02-07
43,546,2024-11-07 23:22:52.059756,Season,416.92,13,Card,2024-11-26,2025-10-27
44,2428,2024-07-08 16:24:28.037510,Season,479.56,47,Mobile,2024-08-05,2025-04-24
45,110,2025-07-19 04:22:01.072704,Multi-Day,169.97,21,Mobile,2025-08-04,2025-08-09
46,545,2025-11-18 05:12:27.433987,Season,343.86,16,Mobile,2025-12-01,2026-11-01
47,2402,2025-04-03 03:34:16.077729,Multi-Day,199.88,3,Cash,2025-05-02,2025-05-09
48,743,2024-11-16 15:04:10.746468,Multi-Day,175.48,44,Cash,2024-12-10,2024-12-13
49,2365,2025-10-23 03:05:17.680413,Promo,43.64,39,Cash,2025-10-31,2025-11-02
50,1290,2024-04-27 11:25:56.432633,Multi-Day,152.36,18,Mobile,2024-05-27,2024-05-31
51,1876,2025-11-21 22:29:32.493686,Promo,44.39,36,Card,2025-11-30,2025-12-02
52,1089,2025-03-15 20:56:40.837733,Season,425.49,1,Mobile,2025-04-09,2025-11-09
53,333,2024-02-05 05:43:49.096423,Multi-Day,189.6,14,Card,2024-02-09,2024-02-14
54,1537,2025-04-10 02:19:22.904863,Multi-Day,171.11,1,Mobile,2025-04-29,2025-05-06
55,1157,2024-10-30 23:00:12.173215,Day,82.54,10,Card,2024-11-27,2024-11-27
56,592,2025-10-24 15:07:00.519518,Multi-Day,169.08,44,Mobile,2025-11-16,2025-11-22
57,783,2024-02-02 08:39:43.463069,Multi-Day,199.81,22,Mobile,2024-02-11,2024-02-18
58,540,2025-09-28 06:43:13.536033,Day,101.16,9,Card,2025-10-15,2025-10-15
59,1559,2025-03-04 16:17:49.277981,Day,118.84,2,Card,2025-03-31,2025-03-31
60,1520,2024-04-14 21:54:01.428595,Season,472.16,4,Card,2024-04-24,2025-04-21
61,619,2025-03-19 20:09:06.407897,Multi-Day,150.57,2,Card,2025-04-11,2025-04-17
62,1834,2025-03-08 09:36:28.618459,Season,444.14,37,Card,2025-03-28,2025-11-18
63,992,2023-11-27 16:59:30.192452,Season,436.34,12,Card,2023-12-03,2024-07-23
64,2147,2024-11-30 12:55:10.209462,Day,101.48,41,Card,2024-12-19,2024-12-19
65,2365,2024-05-02 21:00:43.060600,Promo,50.67,18,Card,2024-05-24,2024-05-26
66,2171,2025-01-25 00:33:53.003852,Season,428.19,39,Mobile,2025-02-15,2025-11-10
67,1617,2024-03-13 06:52:47.254365,Promo,44.46,49,Card,2024-04-11,2024-04-14
68,1519,2024-04-17 21:08:16.934875,Multi-Day,171.74,34,Card,2024-04-21,2024-04-28
69,522,2025-04-28 06:24:51.437115,Day,98.15,23,Mobile,2025-05-18,2025-05-18
70,917,2024-07-17 12:41:39.279389,Multi-Day,197.69,23,Mobile,2024-08-16,2024-08-19
71,717,2023-12-05 18:24:44.615333,Multi-Day,193.79,16,Cash,2023-12-21,2023-12-27
72,2363,2025-09-15 20:36:07.603298,Day,90.54,39,Cash,2025-10-07,2025-10-07
73,1937,2024-09-19 05:22:24.874026,Multi-Day,175.03,9,Card,2024-10-09,2024-10-13
74,560,2025-01-27 22:39:05.221472,Day,87.15,1,Card,2025-02-18,2025-02-18
75,969,2024-07-31 01:10:38.078621,Promo,76.51,43,Cash,2024-08-03,2024-08-05
76,2404,2025-10-22 04:08:24.678312,Multi-Day,193.53,22,Cash,2025-11-08,2025-11-13
77,1078,2024-07-25 21:53:26.854520,Day,91.94,5,Card,2024-08-12,2024-08-12
78,890,2025-06-06 20:29:31.407669,Season,427.79,1,Cash,2025-06-24,2026-06-09
79,793,2025-05-10 06:32:57.276333,Multi-Day,180.45,20,Card,2025-06-01,2025-06-06
80,2313,2024-05-07 11:19:24.054671,Promo,46.11,34,Mobile,2024-05-28,2024-05-31
81,982,2025-06-06 05:37:51.591295,Day,110.5,48,Mobile,2025-07-04,2025-07-04
82,802,2025-10-28 01:31:35.022337,Multi-Day,176.97,28,Cash,2025-11-23,2025-11-29
83,43,2025-10-04 11:28:43.511598,Multi-Day,188.93,6,Mobile,2025-10-13,2025-10-18
84,1610,2025-04-07 15:57:11.639237,Multi-Day,176.52,28,Mobile,2025-05-02,2025-05-04
85,1778,2024-09-07 09:20:04.476517,Promo,40.02,36,Mobile,2024-09-23,2024-09-24
86,350,2024-04-16 13:32:06.430495,Day,92.97,22,Mobile,2024-04-16,2024-04-16
87,1568,2024-10-25 13:52:43.745445,Season,303.9,32,Card,2024-11-06,2025-06-11
88,1130,2024-07-11 16:47:57.803865,Season,485.82,7,Card,2024-07-12,2025-06-28
89,2049,2025-03-29 14:37:07.626596,Season,475.74,11,Cash,2025-03-30,2025-11-16
90,1781,2024-07-24 10:34:07.154797,Day,113.27,45,Mobile,2024-08-01,2024-08-01
91,584,2024-02-20 13:59:28.154887,Season,361.5,47,Mobile,2024-03-15,2024-10-22
92,432,2025-02-22 15:21:41.153756,Promo,42.32,9,Mobile,2025-03-03,2025-03-06
93,1933,2024-03-18 14:07:35.766163,Day,115.12,14,Cash,2024-03-26,2024-03-26
94,2101,2025-02-01 14:12:00.327717,Multi-Day,197.35,23,Card,2025-02-05,2025-02-07
95,1349,2024-01-03 22:47:34.673761,Promo,43.43,25,Mobile,2024-01-25,2024-01-27
96,2195,2024-03-06 17:56:00.376729,Multi-Day,174.3,46,Card,2024-03-12,2024-03-18
97,2031,2024-02-27 05:02:01.873450,Season,313.84,41,Cash,2024-02-28,2024-11-25
98,1190,2024-06-08 07:43:15.378220,Promo,70.42,38,Card,2024-07-04,2024-07-06
99,1163,2024-11-15 12:40:10.805366,Day,110.63,2,Mobile,2024-11-18,2024-11-18
100,299,2024-06-25 23:22:11.450214,Promo,45.14,1,Card,2024-07-14,2024-07-17
101,1940,2025-06-26 02:43:26.680698,Multi-Day,173.76,5,Card,2025-07-19,2025-07-25
102,789,2024-07-23 12:13:29.528076,Day,101.99,20,Cash,2024-08-19,2024-08-19
103,850,2023-12-20 04:00:29.469308,Promo,50.6,8,Cash,2023-12-27,2023-12-30
104,2226,2024-05-21 05:00:10.853961,Promo,74.9,9,Cash,2024-06-10,2024-06-13
105,1378,2024-08-12 08:41:35.009067,Promo,56.93,35,Cash,2024-08-24,2024-08-25
106,1178,2024-08-20 13:05:03.604661,Promo,48.47,2,Card,2024-09-05,2024-09-08
107,1950,2025-04-16 01:09:11.080266,Day,101.57,40,Card,2025-04-25,2025-04-25
108,878,2025-11-15 02:04:55.308752,Multi-Day,186.5,23,Cash,2025-12-07,2025-12-14
109,1139,2023-12-26 09:18:37.704701,Promo,48.05,21,Cash,2023-12-27,2023-12-29
110,1578,2025-11-11 15:05:10.339586,Day,92.47,48,Mobile,2025-11-23,2025-11-23
111,2493,2023-12-22 15:00:57.444575,Multi-Day,199.76,13,Mobile,2024-01-04,2024-01-11
112,1647,2024-09-20 21:11:50.178587,Promo,66.0,41,Cash,2024-09-30,2024-10-03
113,1904,2024-11-03 02:12:36.810414,Multi-Day,171.91,44,Card,2024-11-04,2024-11-06
114,1383,2024-01-18 13:25:02.211182,Multi-Day,175.88,43,Cash,2024-02-10,2024-02-14
115,145,2024-09-26 00:14:49.626355,Day,84.84,26,Card,2024-10-02,2024-10-02
116,2323,2024-07-08 11:49:08.490316,Multi-Day,161.23,32,Card,2024-07-27,2024-08-01
117,1203,2025-10-09 19:44:44.960631,Day,93.52,21,Mobile,2025-11-04,2025-11-04
118,1862,2025-06-26 15:58:26.098398,Promo,63.53,28,Cash,2025-07-03,2025-07-06
119,1855,2025-01-10 05:28:46.845152,Multi-Day,161.51,18,Cash,2025-02-01,2025-02-08
120,1867,2025-07-01 07:17:30.861804,Multi-Day,161.01,18,Card,2025-07-21,2025-07-25
121,1099,2025-07-01 05:05:50.479123,Season,314.2,5,Cash,2025-07-25,2026-06-20
122,1152,2024-02-14 22:39:55.897345,Promo,65.24,44,Mobile,2024-03-02,2024-03-05
123,1735,2024-03-21 16:27:04.221637,Promo,49.16,18,Mobile,2024-04-09,2024-04-10
124,568,2025-01-01 00:55:45.987505,Season,481.08,12,Cash,2025-01-25,2026-01-25
125,1814,2024-05-25 18:36:22.289015,Season,471.93,25,Cash,2024-06-24,2025-02-08
126,531,2025-03-23 13:12:22.727924,Day,82.83,21,Mobile,2025-04-01,2025-04-01
127,2207,2024-02-01 20:49:29.469798,Day,89.52,20,Cash,2024-02-15,2024-02-15
128,1562,2025-03-03 06:04:28.755284,Multi-Day,183.45,35,Card,2025-03-08,2025-03-15
129,681,2024-11-08 10:54:17.404675,Multi-Day,160.71,1,Cash,2024-11-10,2024-11-13
130,2071,2025-05-13 11:10:31.284432,Multi-Day,156.62,46,Card,2025-06-12,2025-06-15
131,1071,2025-06-21 08:34:45.504773,Multi-Day,196.78,43,Cash,2025-07-14,2025-07-20
132,729,2025-08-01 23:58:43.943687,Day,102.84,29,Cash,2025-08-04,2025-08-04
133,1730,2024-07-19 23:55:38.948621,Promo,58.91,26,Mobile,2024-07-31,2024-08-01
134,2192,2024-10-10 05:56:10.347753,Multi-Day,189.23,6,Card,2024-10-23,2024-10-27
135,668,2024-09-16 14:40:05.378825,Promo,72.3,19,Mobile,2024-10-03,2024-10-05
136,1613,2025-09-17 06:32:02.195928,Multi-Day,159.52,49,Cash,2025-09-21,2025-09-24
137,681,2024-03-28 01:37:11.310626,Season,319.39,30,Mobile,2024-04-15,2024-12-16
138,973,2024-03-13 21:09:26.830661,Multi-Day,171.55,22,Cash,2024-03-13,2024-03-17
139,2133,2025-11-09 01:11:29.475403,Multi-Day,171.18,12,Cash,2025-11-23,2025-11-30
140,2464,2025-03-13 15:33:19.769671,Multi-Day,173.35,16,Cash,2025-04-11,2025-04-14
141,827,2025-03-18 20:05:05.142800,Day,109.16,3,Card,2025-03-19,2025-03-19
142,297,2025-03-01 09:26:50.476673,Season,434.67,13,Card,2025-03-05,2025-11-22
143,1254,2024-08-18 00:20:51.732706,Multi-Day,199.21,19,Card,2024-09-06,2024-09-08
144,2426,2024-06-28 21:48:27.484493,Multi-Day,154.92,12,Mobile,2024-07-22,2024-07-29
145,2469,2024-09-26 20:23:21.841792,Promo,56.1,2,Cash,2024-10-15,2024-10-18
146,2153,2025-04-16 03:08:59.916196,Season,367.86,25,Mobile,2025-04-25,2026-02-24
147,1729,2024-05-25 01:58:36.795592,Multi-Day,193.08,25,Mobile,2024-06-19,2024-06-25
148,2025,2023-11-28 23:46:22.008872,Promo,49.95,17,Cash,2023-12-15,2023-12-17
149,330,2024-05-31 04:03:00.719921,Promo,47.61,31,Mobile,2024-06-02,2024-06-05
150,2487,2024-08-21 16:37:56.618810,Day,97.94,13,Cash,2024-08-31,2024-08-31
151,1156,2025-07-10 00:47:35.442189,Promo,56.88,46,Cash,2025-07-26,2025-07-27
152,1891,2024-07-31 01:54:35.028494,Multi-Day,163.93,2,Cash,2024-08-30,2024-09-02
153,382,2024-07-25 20:46:36.234922,Day,89.99,0,Cash,2024-08-10,2024-08-10
154,2186,2024-02-25 19:55:36.108118,Day,116.93,25,Mobile,2024-02-27,2024-02-27
155,843,2024-09-18 13:25:30.445772,Multi-Day,172.16,23,Mobile,2024-10-13,2024-10-19
156,2318,2025-04-23 22:55:52.835583,Season,472.27,48,Mobile,2025-04-28,2026-02-08
157,396,2024-10-03 18:05:09.645779,Promo,62.01,34,Card,2024-10-20,2024-10-23
158,450,2024-11-24 14:19:47.902515,Day,82.02,13,Mobile,2024-12-06,2024-12-06
159,1355,2024-11-15 12:29:21.697562,Season,499.86,2,Mobile,2024-11-17,2025-08-13
160,1987,2024-12-23 05:18:35.266788,Multi-Day,191.8,12,Card,2024-12-30,2025-01-02
161,1309,2025-07-03 06:24:36.249534,Promo,78.76,46,Cash,2025-07-24,2025-07-26
162,1298,2024-07-10 06:39:39.883858,Promo,77.05,49,Cash,2024-07-20,2024-07-22
163,2068,2025-06-27 02:48:42.799155,Day,113.95,13,Cash,2025-07-06,2025-07-06
164,2287,2024-05-13 05:21:16.425619,Promo,46.65,20,Card,2024-05-19,2024-05-22
165,1294,2024-03-04 17:39:16.772625,Promo,59.43,25,Mobile,2024-03-20,2024-03-22
166,2466,2024-09-20 01:23:12.191377,Promo,48.55,2,Mobile,2024-10-07,2024-10-10
167,1850,2025-11-14 16:47:10.306268,Promo,56.04,50,Mobile,2025-11-14,2025-11-15
168,186,2025-01-19 16:29:45.686699,Multi-Day,152.93,39,Mobile,2025-02-09,2025-02-13
169,1234,2025-02-06 05:48:40.191462,Season,375.79,3,Card,2025-02-20,2025-10-19
170,1438,2024-06-04 16:22:38.230105,Multi-Day,199.27,35,Mobile,2024-07-02,2024-07-09
171,253,2025-07-18 22:34:23.630172,Multi-Day,163.26,50,Cash,2025-08-06,2025-08-12
172,19,2023-12-21 14:47:59.200197,Day,111.36,42,Card,2023-12-28,2023-12-28
173,1160,2024-12-09 01:41:05.594486,Promo,58.2,0,Card,2025-01-08,2025-01-09
174,223,2025-04-15 14:59:43.217105,Multi-Day,171.15,39,Cash,2025-05-06,2025-05-10
175,3,2025-07-19 21:51:42.517652,Promo,78.29,46,Cash,2025-07-31,2025-08-01
176,1260,2024-09-13 00:34:44.785799,Multi-Day,199.77,32,Mobile,2024-09-25,2024-09-29
177,854,2024-08-27 00:45:11.888010,Multi-Day,177.79,6,Cash,2024-09-13,2024-09-20
178,1489,2025-03-22 02:28:22.032919,Day,108.74,10,Card,2025-03-31,2025-03-31
179,228,2025-07-16 02:53:08.537207,Season,330.96,26,Card,2025-07-16,2026-05-24
180,1678,2024-03-08 13:05:00.469989,Season,359.34,13,Card,2024-04-03,2025-01-03
181,499,2025-10-26 12:28:52.883446,Multi-Day,198.44,21,Mobile,2025-11-11,2025-11-17
182,1886,2025-09-05 08:20:56.753589,Day,103.17,15,Mobile,2025-09-19,2025-09-19
183,2016,2025-01-09 15:33:07.818033,Promo,61.69,45,Cash,2025-01-24,2025-01-25
184,1163,2024-04-07 22:20:53.706388,Promo,69.92,11,Mobile,2024-04-16,2024-04-19
185,1300,2025-04-09 07:48:54.561081,Multi-Day,152.86,48,Mobile,2025-04-15,2025-04-19
186,2339,2024-03-14 01:21:13.049218,Season,416.84,45,Card,2024-03-30,2024-10-17
187,1077,2025-01-10 16:34:09.705089,Day,100.11,9,Card,2025-02-09,2025-02-09
188,715,2024-08-25 04:52:01.526424,Season,470.54,23,Cash,2024-08-28,2025-04-07
189,948,2024-07-28 22:12:50.520339,Promo,46.3,45,Card,2024-08-27,2024-08-30
190,870,2023-12-12 20:31:37.299885,Season,492.16,17,Mobile,2023-12-29,2024-06-27
191,1071,2024-02-09 20:29:14.385336,Promo,43.2,21,Cash,2024-02-29,2024-03-01
192,94,2025-06-12 06:41:24.169605,Day,87.43,8,Cash,2025-06-18,2025-06-18
193,560,2023-12-22 21:38:41.728874,Day,103.8,16,Card,2024-01-12,2024-01-12
194,1776,2025-03-09 10:04:19.857743,Multi-Day,183.76,37,Card,2025-03-29,2025-04-01
195,2261,2025-09-24 11:39:11.166424,Multi-Day,161.76,39,Card,2025-10-21,2025-10-28
196,436,2023-12-13 03:24:57.730314,Season,323.98,12,Cash,2023-12-26,2024-07-19
197,852,2025-05-05 08:24:23.992694,Day,115.61,49,Card,2025-05-11,2025-05-11
198,205,2025-10-23 19:34:02.946274,Day,89.85,36,Mobile,2025-11-09,2025-11-09
199,2429,2025-04-03 21:31:28.382337,Multi-Day,179.73,5,Cash,2025-04-29,2025-05-06
200,1100,2024-03-30 19:54:24.878395,Promo,64.78,20,Card,2024-04-27,2024-04-30
201,77,2024-01-05 13:06:22.727883,Season,383.84,50,Mobile,2024-01-29,2024-11-15
202,816,2025-01-25 03:11:59.194930,Season,416.73,35,Mobile,2025-02-14,2025-08-31
203,768,2024-04-26 05:06:31.527667,Multi-Day,176.14,6,Card,2024-05-19,2024-05-26
204,2458,2024-07-08 14:48:28.480347,Day,117.39,35,Mobile,2024-07-12,2024-07-12
205,106,2023-12-20 00:14:14.742867,Multi-Day,160.21,24,Cash,2023-12-20,2023-12-25
206,2136,2024-10-09 09:20:09.382624,Multi-Day,185.81,10,Cash,2024-10-31,2024-11-04
207,1747,2024-11-07 00:06:49.864152,Multi-Day,161.93,43,Mobile,2024-11-08,2024-11-10
208,1466,2024-03-24 05:17:11.753006,Multi-Day,169.79,13,Cash,2024-03-26,2024-03-28
209,245,2024-02-17 09:19:29.723555,Promo,66.87,44,Card,2024-02-22,2024-02-24
210,1406,2024-04-06 21:28:00.167056,Promo,52.0,28,Mobile,2024-04-23,2024-04-24
211,982,2024-01-18 17:40:16.230146,Day,92.65,9,Cash,2024-02-05,2024-02-05
212,1737,2025-03-13 14:36:34.687163,Multi-Day,187.59,49,Card,2025-04-08,2025-04-11
213,142,2025-04-09 11:35:05.493292,Promo,42.9,47,Card,2025-05-08,2025-05-10
214,893,2025-05-29 21:12:09.599977,Day,98.33,4,Cash,2025-06-11,2025-06-11
215,1392,2025-07-14 20:45:33.309985,Multi-Day,199.92,7,Mobile,2025-07-26,2025-07-31
216,2400,2025-01-28 03:51:55.418044,Season,499.22,45,Card,2025-02-17,2025-11-27
217,545,2025-03-03 11:46:36.265179,Promo,42.93,4,Card,2025-03-16,2025-03-18
218,2200,2025-07-30 07:52:03.439770,Day,88.53,23,Card,2025-07-30,2025-07-30
219,1470,2025-05-19 11:04:37.165588,Season,353.04,39,Card,2025-05-31,2026-05-18
220,763,2024-03-19 19:29:32.616412,Multi-Day,196.66,25,Mobile,2024-03-22,2024-03-28
221,624,2025-09-27 07:13:29.597344,Multi-Day,194.04,5,Cash,2025-09-27,2025-10-04
222,656,2025-06-19 12:47:55.032012,Multi-Day,193.96,15,Cash,2025-07-12,2025-07-18
223,2498,2025-02-12 15:53:10.107976,Promo,54.78,35,Cash,2025-02-14,2025-02-17
224,1248,2024-02-15 21:45:14.112450,Day,86.31,11,Card,2024-03-04,2024-03-04
225,43,2025-08-07 08:57:38.130422,Season,466.75,10,Mobile,2025-08-08,2026-08-02
226,2312,2024-05-07 13:28:41.984612,Day,108.14,2,Cash,2024-06-03,2024-06-03
227,1027,2024-11-10 11:31:12.906232,Promo,64.47,43,Mobile,2024-11-12,2024-11-14
228,1661,2024-03-21 07:39:20.369476,Day,119.49,36,Cash,2024-04-19,2024-04-19
229,1292,2025-09-27 03:21:40.364679,Promo,66.16,5,Card,2025-10-13,2025-10-14
230,596,2023-12-26 13:12:04.677887,Multi-Day,150.39,18,Cash,2024-01-04,2024-01-11
231,1013,2024-01-05 10:14:22.133094,Season,463.42,17,Card,2024-01-14,2024-12-14
232,2225,2025-01-07 00:49:34.350758,Multi-Day,164.97,15,Card,2025-01-09,2025-01-13
233,2111,2025-09-01 10:56:33.100335,Day,106.54,22,Cash,2025-09-25,2025-09-25
234,958,2024-12-02 18:17:57.097910,Multi-Day,196.95,42,Mobile,2024-12-31,2025-01-05
235,561,2025-03-16 00:40:36.779607,Season,326.86,36,Card,2025-03-28,2026-01-03
236,1331,2024-10-15 06:19:59.621814,Multi-Day,155.77,8,Mobile,2024-11-10,2024-11-17
237,1313,2024-06-17 00:01:58.598193,Season,321.41,2,Cash,2024-06-17,2025-04-14
238,1822,2024-10-22 05:47:57.035735,Season,410.64,7,Card,2024-10-27,2025-09-08
239,1551,2024-01-04 07:44:41.584275,Multi-Day,163.62,37,Mobile,2024-01-11,2024-01-14
240,850,2024-06-21 15:10:24.890800,Promo,64.19,3,Card,2024-07-14,2024-07-16
241,1279,2025-01-07 08:25:59.677789,Day,108.7,11,Cash,2025-02-01,2025-02-01
242,1534,2024-11-18 05:26:08.590984,Promo,48.14,43,Card,2024-12-13,2024-12-16
243,1815,2024-12-25 01:48:47.028622,Promo,65.37,30,Cash,2025-01-03,2025-01-06
244,1742,2025-09-04 20:53:54.408854,Multi-Day,163.2,24,Mobile,2025-09-08,2025-09-12
245,606,2025-06-23 23:29:01.479370,Day,99.54,15,Card,2025-07-14,2025-07-14
246,1487,2025-09-05 23:37:44.353136,Day,116.21,41,Mobile,2025-10-03,2025-10-03
247,1295,2025-10-07 06:40:48.492828,Promo,73.84,13,Cash,2025-11-05,2025-11-08
248,746,2024-01-10 03:52:39.962783,Multi-Day,154.61,12,Cash,2024-01-30,2024-02-03
249,558,2024-04-15 01:35:18.085854,Day,96.94,40,Mobile,2024-05-15,2024-05-15
250,2112,2024-03-20 17:00:32.901271,Promo,51.07,6,Mobile,2024-04-19,2024-04-20
251,942,2025-03-21 18:29:23.202466,Day,80.14,11,Cash,2025-04-07,2025-04-07
252,2297,2025-07-24 03:12:51.637767,Multi-Day,188.56,36,Mobile,2025-08-20,2025-08-26
253,1270,2025-05-24 07:43:33.602295,Multi-Day,181.86,49,Cash,2025-05-28,2025-05-30
254,940,2023-12-14 15:04:16.753020,Multi-Day,163.1,3,Mobile,2023-12-15,2023-12-17
255,1611,2024-01-22 13:54:23.567625,Day,109.65,1,Cash,2024-02-09,2024-02-09
256,2205,2025-11-22 11:38:11.732610,Season,410.34,34,Cash,2025-12-11,2026-09-17
257,1726,2024-09-28 09:55:09.135881,Day,97.11,43,Card,2024-10-15,2024-10-15
258,985,2025-01-19 22:51:27.775195,Season,301.93,2,Cash,2025-02-05,2025-08-25
259,1588,2024-01-03 12:01:56.904787,Multi-Day,153.76,3,Cash,2024-01-12,2024-01-15
260,1337,2024-06-25 07:54:03.615093,Promo,75.32,37,Card,2024-07-18,2024-07-21
261,1875,2024-09-24 10:45:53.923668,Season,480.79,11,Card,2024-10-22,2025-10-22
262,662,2024-09-26 17:35:04.045828,Multi-Day,177.28,18,Mobile,2024-10-07,2024-10-10
263,33,2024-11-27 04:28:26.542125,Multi-Day,191.73,9,Mobile,2024-12-10,2024-12-17
264,1817,2024-07-19 08:26:38.140434,Season,416.5,0,Cash,2024-08-15,2025-06-22
265,2121,2025-05-19 11:24:37.482800,Promo,45.92,16,Mobile,2025-05-23,2025-05-24
266,1890,2024-06-10 10:45:50.320574,Multi-Day,156.37,15,Mobile,2024-06-15,2024-06-18
267,1157,2024-09-18 21:31:06.519258,Season,361.65,8,Cash,2024-10-07,2025-06-08
268,61,2025-08-03 09:19:49.345349,Promo,75.96,8,Card,2025-08-09,2025-08-10
269,1544,2024-09-25 04:15:43.868899,Promo,71.84,8,Card,2024-09-30,2024-10-03
270,272,2025-04-14 09:43:39.934865,Multi-Day,193.04,11,Cash,2025-05-09,2025-05-15
271,2294,2023-12-10 00:00:04.277753,Day,115.96,40,Cash,2024-01-06,2024-01-06
272,1200,2024-10-02 04:59:49.421803,Day,88.4,14,Cash,2024-10-03,2024-10-03
273,1807,2025-07-23 22:18:37.690594,Multi-Day,162.48,1,Cash,2025-08-19,2025-08-25
274,1155,2024-06-06 10:42:48.720877,Promo,44.11,10,Cash,2024-06-20,2024-06-23
275,1126,2024-03-18 09:51:26.667034,Multi-Day,189.01,10,Cash,2024-04-04,2024-04-06
276,310,2025-02-25 23:13:18.556369,Season,476.83,7,Mobile,2025-03-06,2026-02-20
277,1316,2025-09-25 01:48:27.435548,Day,96.26,31,Mobile,2025-09-27,2025-09-27
278,1746,2025-11-24 07:20:47.417696,Season,424.13,5,Mobile,2025-12-02,2026-06-25
279,338,2024-04-02 22:12:06.885884,Multi-Day,157.73,19,Card,2024-04-08,2024-04-15
280,10,2024-10-27 08:28:23.376488,Multi-Day,196.49,38,Cash,2024-11-14,2024-11-19
281,49,2024-10-21 12:36:16.318254,Promo,74.58,34,Cash,2024-11-20,2024-11-22
282,1511,2024-10-30 19:35:46.350262,Promo,79.05,7,Mobile,2024-11-10,2024-11-11
