ridelog_id,ride_id,visitor_id,employee_id,start_time,ride_duration_seconds,end_time,queue_time_seconds,satisfaction_rating
84,23,2248,83,2025-11-02 09:08:19.126033,191,2025-11-02 09:11:30.126033,2199,3
85,34,1013,213,2025-01-29 15:32:41.126041,114,2025-01-29 15:34:35.126041,3423,3
86,3,2485,307,2025-05-25 13:37:56.126049,76,2025-05-25 13:39:12.126049,2365,5
87,30,494,213,2025-02-20 21:09:09.126057,300,2025-02-20 21:14:09.126057,830,1
88,50,707,378,2025-03-29 13:38:21.126065,34,2025-03-29 13:38:55.126065,3272,4
89,34,2072,273,2025-06-28 14:00:33.126073,86,2025-06-28 14:01:59.126073,282,2
90,32,2006,126,2025-01-28 19:43:09.126081,77,2025-01-28 19:44:26.126081,2603,1
91,29,2318,61,2025-10-26 12:32:52.126089,268,2025-10-26 12:37:20.126089,2285,2
92,9,738,347,2025-02-11 09:27:22.126097,173,2025-02-11 09:30:15.126097,2006,4
93,2,1252,31,2025-08-16 12:40:58.126105,114,2025-08-16 12:42:52.126105,895,1
94,39,2176,15,2025-08-13 21:04:21.126113,233,2025-08-13 21:08:14.126113,1238,2
95,7,543,360,2025-08-20 19:30:44.126120,197,2025-08-20 19:34:01.126120,2775,3
96,46,1787,40,2024-12-05 16:38:44.126128,194,2024-12-05 16:41:58.126128,987,1
97,5,2373,321,2025-06-08 18:36:21.126136,104,2025-06-08 18:38:05.126136,3397,4
98,8,1130,276,2025-01-13 13:26:21.126144,57,2025-01-13 13:27:18.126144,1865,2
99,32,1461,233,2025-09-02 10:29:56.126152,136,2025-09-02 10:32:12.126152,1905,1
100,18,2133,321,2025-11-03 16:14:58.126160,187,2025-11-03 16:18:05.126160,2953,4
101,38,1026,288,2025-11-23 19:14:44.126167,144,2025-11-23 19:17:08.126167,3147,3
102,46,1461,240,2025-07-30 16:39:13.126175,253,2025-07-30 16:43:26.126175,3207,5
103,18,2499,150,2025-07-25 16:47:49.126183,120,2025-07-25 16:49:49.126183,1281,3
104,49,1465,62,2025-06-08 21:47:24.126191,282,2025-06-08 21:52:06.126191,1169,1
105,41,1246,221,2025-08-11 15:11:52.126199,293,2025-08-11 15:16:45.126199,2642,1
106,45,1049,251,2025-11-21 14:00:04.126207,72,2025-11-21 14:01:16.126207,2618,5
107,16,1059,11,2025-05-25 09:35:07.126214,84,2025-05-25 09:36:31.126214,1304,5
108,21,972,38,2025-09-13 13:28:12.126221,50,2025-09-13 13:29:02.126221,2510,2
109,10,2391,65,2025-01-05 18:58:48.126229,45,2025-01-05 18:59:33.126229,82,5
110,42,988,191,2025-05-24 09:01:12.126237,98,2025-05-24 09:02:50.126237,678,5
111,4,1390,38,2025-08-15 13:11:14.126245,176,2025-08-15 13:14:10.126245,870,5
112,44,1360,255,2025-07-13 20:11:21.126253,136,2025-07-13 20:13:37.126253,822,3
113,8,899,269,2025-02-14 12:11:12.126261,196,2025-02-14 12:14:28.126261,2124,2
114,47,1814,244,2025-11-13 11:53:16.126269,59,2025-11-13 11:54:15.126269,912,5
115,19,1503,280,2025-10-04 09:53:43.126277,57,2025-10-04 09:54:40.126277,1134,2
116,47,2446,292,2025-09-15 15:41:50.126284,298,2025-09-15 15:46:48.126284,1487,5
117,40,1830,148,2025-09-29 14:59:13.126292,268,2025-09-29 15:03:41.126292,356,2
118,40,343,43,2025-06-21 16:15:23.126300,96,2025-06-21 16:16:59.126300,2349,2
119,9,1249,109,2025-05-18 19:10:33.126308,93,2025-05-18 19:12:06.126308,322,5
120,30,2095,99,2025-01-09 15:56:45.126316,87,2025-01-09 15:58:12.126316,2455,5
121,17,1209,43,2025-10-22 10:09:56.126324,295,2025-10-22 10:14:51.126324,1839,2
122,40,915,340,2025-09-19 21:12:12.126332,286,2025-09-19 21:16:58.126332,2500,1
123,44,2210,104,2025-02-25 15:44:23.126340,30,2025-02-25 15:44:53.126340,2027,2
124,15,1667,193,2025-06-15 18:27:40.126348,109,2025-06-15 18:29:29.126348,1749,3
125,4,295,115,2025-07-22 09:48:39.126356,245,2025-07-22 09:52:44.126356,623,4
126,6,2140,46,2025-01-28 12:54:34.126364,33,2025-01-28 12:55:07.126364,1678,2
127,16,1611,62,2025-06-27 21:09:20.126372,228,2025-06-27 21:13:08.126372,598,2
128,26,1980,114,2025-07-21 09:40:50.126379,54,2025-07-21 09:41:44.126379,886,1
129,37,1282,198,2025-07-04 11:54:32.126387,296,2025-07-04 11:59:28.126387,2609,5
130,23,557,252,2025-01-29 16:13:46.126396,228,2025-01-29 16:17:34.126396,1938,1
131,13,2023,105,2025-10-14 21:30:50.126406,82,2025-10-14 21:32:12.126406,926,1
132,47,309,29,2024-12-20 18:04:10.126413,68,2024-12-20 18:05:18.126413,139,1
133,17,1673,169,2025-03-09 15:48:56.126421,160,2025-03-09 15:51:36.126421,2714,1
134,27,1153,15,2024-12-29 21:32:23.126442,228,2024-12-29 21:36:11.126442,2549,1
135,22,1185,122,2025-03-14 17:29:11.126450,32,2025-03-14 17:29:43.126450,1035,2
136,37,2224,357,2025-06-13 20:23:33.126458,32,2025-06-13 20:24:05.126458,2474,4
137,19,1795,19,2024-12-04 16:45:31.126466,52,2024-12-04 16:46:23.126466,2664,1
138,39,973,376,2025-03-27 13:37:25.126479,244,2025-03-27 13:41:29.126479,593,1
139,35,938,337,2025-01-02 21:37:41.126487,71,2025-01-02 21:38:52.126487,387,1
140,13,1292,96,2025-11-06 12:14:57.126495,162,2025-11-06 12:17:39.126495,2686,5
141,14,218,284,2025-08-13 16:55:15.126503,70,2025-08-13 16:56:25.126503,1595,5
142,48,164,399,2025-05-06 12:19:27.126511,91,2025-05-06 12:20:58.126511,3351,2
143,31,1715,186,2025-05-15 18:10:59.126518,57,2025-05-15 18:11:56.126518,878,3
144,45,1441,53,2025-05-17 13:35:05.126526,38,2025-05-17 13:35:43.126526,3030,2
145,2,2096,298,2025-09-17 21:05:18.126534,174,2025-09-17 21:08:12.126534,3595,1
146,46,1218,329,2025-04-11 17:22:14.126542,94,2025-04-11 17:23:48.126542,3490,5
147,39,801,91,2025-01-30 09:29:32.126550,261,2025-01-30 09:33:53.126550,1156,5
148,37,2132,19,2025-01-10 14:27:28.126558,300,2025-01-10 14:32:28.126558,307,3
149,14,1691,77,2025-03-30 15:26:23.126566,140,2025-03-30 15:28:43.126566,1104,3
150,9,234,130,2025-03-15 14:17:24.126574,291,2025-03-15 14:22:15.126574,3483,3
151,10,1877,146,2025-11-12 11:28:14.126582,276,2025-11-12 11:32:50.126582,748,1
152,7,962,245,2025-07-12 19:04:22.126590,143,2025-07-12 19:06:45.126590,158,5
153,28,2195,181,2025-10-13 13:53:32.126597,143,2025-10-13 13:55:55.126597,2635,4
154,46,2244,136,2025-03-07 17:41:05.126605,251,2025-03-07 17:45:16.126605,3180,4
155,25,906,212,2025-07-06 12:06:07.126613,240,2025-07-06 12:10:07.126613,3399,3
156,46,1014,137,2025-10-19 14:02:34.126621,87,2025-10-19 14:04:01.126621,583,1
157,28,1046,205,2025-08-14 14:12:43.126629,52,2025-08-14 14:13:35.126629,1914,5
158,2,1996,372,2025-06-09 13:19:47.126637,56,2025-06-09 13:20:43.126637,1373,5
159,17,386,149,2024-12-10 13:12:45.126645,104,2024-12-10 13:14:29.126645,434,5
160,4,2025,348,2025-01-19 11:54:48.126653,44,2025-01-19 11:55:32.126653,3180,3
161,13,364,44,2025-02-19 13:00:49.126661,60,2025-02-19 13:01:49.126661,3584,4
162,18,2322,60,2025-06-24 13:52:22.126669,296,2025-06-24 13:57:18.126669,3042,4
163,3,1408,327,2025-05-02 15:52:37.126677,299,2025-05-02 15:57:36.126677,2608,1
164,37,208,249,2024-12-24 09:30:41.126685,53,2024-12-24 09:31:34.126685,2731,2
165,33,275,373,2025-03-07 21:09:55.126693,98,2025-03-07 21:11:33.126693,1580,1
166,41,1753,126,2025-05-05 12:14:46.126701,140,2025-05-05 12:17:06.126701,208,4
167,24,496,397,2025-08-09 16:14:33.126709,183,2025-08-09 16:17:36.126709,752,4
168,8,902,45,2025-01-28 21:35:48.126717,123,2025-01-28 21:37:51.126717,2808,5
169,35,2207,2,2025-03-30 20:52:29.126725,131,2025-03-30 20:54:40.126725,1776,2
170,2,1750,162,2025-06-03 21:05:20.126733,141,2025-06-03 21:07:41.126733,2386,5
171,33,460,197,2025-08-20 15:49:44.126740,77,2025-08-20 15:51:01.126740,2900,2
172,12,394,194,2025-04-25 12:28:28.126748,279,2025-04-25 12:33:07.126748,2844,3
173,22,917,318,2025-02-12 09:23:08.126756,145,2025-02-12 09:25:33.126756,2100,5
174,13,2487,47,2025-02-02 11:19:47.126764,115,2025-02-02 11:21:42.126764,1711,1
175,10,164,226,2025-11-20 16:51:42.126772,57,2025-11-20 16:52:39.126772,1866,1
176,17,639,2,2025-05-27 14:14:26.126780,59,2025-05-27 14:15:25.126780,1909,3
177,43,570,212,2025-04-21 19:48:25.126788,31,2025-04-21 19:48:56.126788,484,2
178,5,2195,215,2024-12-06 17:19:20.126796,91,2024-12-06 17:20:51.126796,2166,2
179,9,960,293,2025-01-28 09:36:50.126804,57,2025-01-28 09:37:47.126804,3341,5
180,13,768,80,2025-11-08 11:09:21.126812,215,2025-11-08 11:12:56.126812,1289,1
181,23,2158,119,2025-02-07 19:51:38.126820,99,2025-02-07 19:53:17.126820,2250,3
182,30,394,86,2025-01-17 18:55:25.126828,154,2025-01-17 18:57:59.126828,1060,4
183,43,1206,319,2025-05-13 12:25:04.126836,180,2025-05-13 12:28:04.126836,2786,3
184,4,1597,56,2025-02-24 15:12:30.126844,188,2025-02-24 15:15:38.126844,390,5
185,21,443,63,2025-09-30 14:36:28.126852,48,2025-09-30 14:37:16.126852,1781,2
186,43,747,8,2025-01-01 13:05:10.126860,229,2025-01-01 13:08:59.126860,1137,1
187,9,2178,183,2025-10-02 19:35:11.126867,37,2025-10-02 19:35:48.126867,2290,5
188,7,1867,373,2025-11-08 20:38:31.126875,284,2025-11-08 20:43:15.126875,406,1
189,16,1800,235,2025-11-11 11:12:04.126883,245,2025-11-11 11:16:09.126883,1524,1
190,23,505,90,2025-05-11 13:13:14.126891,234,2025-05-11 13:17:08.126891,2834,2
191,23,720,104,2025-06-28 19:33:04.126899,155,2025-06-28 19:35:39.126899,3403,4
192,31,1988,279,2025-04-06 09:23:33.126907,70,2025-04-06 09:24:43.126907,2622,2
193,5,1678,400,2025-11-19 11:20:55.126915,208,2025-11-19 11:24:23.126915,1087,2
194,6,2070,341,2025-04-28 15:10:07.126923,36,2025-04-28 15:10:43.126923,620,5
195,1,875,250,2025-09-19 17:26:30.126931,209,2025-09-19 17:29:59.126931,1830,2
196,48,634,128,2025-10-20 15:57:55.126938,101,2025-10-20 15:59:36.126938,3448,1
197,28,282,360,2025-08-11 11:55:13.126946,248,2025-08-11 11:59:21.126946,2397,3
198,18,1444,180,2025-06-19 15:52:45.126954,264,2025-06-19 15:57:09.126954,473,2
199,24,2421,93,2024-12-19 16:10:38.126962,288,2024-12-19 16:15:26.126962,2342,4
200,13,1325,182,2025-02-03 13:37:12.126970,174,2025-02-03 13:40:06.126970,2326,1
201,33,1009,212,2025-03-12 20:43:29.126978,290,2025-03-12 20:48:19.126978,1871,1
202,10,2334,204,2025-07-06 12:00:09.126987,102,2025-07-06 12:01:51.126987,294,3
203,7,1140,37,2025-04-10 10:52:25.126994,99,2025-04-10 10:54:04.126994,1596,2
204,37,404,218,2025-01-19 21:15:33.127002,165,2025-01-19 21:18:18.127002,2378,1
205,32,2138,146,2025-06-09 18:56:31.127010,205,2025-06-09 18:59:56.127010,3540,4
206,45,696,59,2025-04-03 16:36:02.127018,113,2025-04-03 16:37:55.127018,3563,1
207,22,908,129,2025-10-09 13:41:56.127026,87,2025-10-09 13:43:23.127026,786,5
208,16,2495,141,2025-04-05 14:44:53.127034,300,2025-04-05 14:49:53.127034,527,3
209,24,2360,33,2024-11-25 21:19:25.127042,296,2024-11-25 21:24:21.127042,1478,1
210,14,1927,22,2025-01-15 21:54:11.127050,125,2025-01-15 21:56:16.127050,1631,3
211,11,121,371,2025-04-26 12:11:57.127058,253,2025-04-26 12:16:10.127058,2652,5
212,19,2365,205,2025-01-12 20:27:29.127066,35,2025-01-12 20:28:04.127066,660,1
213,23,2186,72,2025-05-12 19:11:44.127074,31,2025-05-12 19:12:15.127074,3095,4
214,34,1767,181,2025-02-06 10:25:44.127081,52,2025-02-06 10:26:36.127081,1672,1
215,40,1678,188,2025-11-02 12:56:55.127089,122,2025-11-02 12:58:57.127089,3478,1
216,13,391,50,2025-09-05 13:56:40.127097,36,2025-09-05 13:57:16.127097,2045,4
217,39,2415,322,2025-02-22 13:42:58.127105,59,2025-02-22 13:43:57.127105,2705,2
218,44,841,83,2025-10-21 20:46:46.127113,109,2025-10-21 20:48:35.127113,3293,5
219,28,1490,24,2025-08-05 16:26:48.127121,30,2025-08-05 16:27:18.127121,534,2
220,40,1266,69,2025-02-14 10:23:04.127129,234,2025-02-14 10:26:58.127129,2265,4
221,16,1466,8,2025-10-02 17:49:49.127137,286,2025-10-02 17:54:35.127137,341,5
222,50,1857,249,2025-06-11 15:28:10.127145,91,2025-06-11 15:29:41.127145,1380,3
223,28,2236,99,2025-07-18 12:32:02.127153,109,2025-07-18 12:33:51.127153,939,1
224,4,404,322,2025-04-02 09:04:40.127160,272,2025-04-02 09:09:12.127160,1241,1
225,28,1850,198,2024-12-04 19:47:29.127168,73,2024-12-04 19:48:42.127168,3322,3
226,12,2475,315,2025-05-13 14:47:25.127176,38,2025-05-13 14:48:03.127176,965,2
227,16,413,208,2025-08-17 15:02:00.127184,118,2025-08-17 15:03:58.127184,1841,4
228,49,1538,303,2025-07-19 10:45:58.127192,67,2025-07-19 10:47:05.127192,1519,3
229,36,154,386,2025-09-16 14:42:47.127200,51,2025-09-16 14:43:38.127200,2661,3
230,20,2251,192,2025-04-01 16:29:04.127207,198,2025-04-01 16:32:22.127207,719,2
231,26,217,372,2025-10-13 17:42:15.127215,287,2025-10-13 17:47:02.127215,1252,5
232,26,1025,26,2024-11-24 16:08:30.127222,158,2024-11-24 16:11:08.127222,2165,5
233,22,799,148,2025-07-05 11:10:53.127230,39,2025-07-05 11:11:32.127230,2521,1
234,9,806,349,2025-11-15 18:06:11.127240,128,2025-11-15 18:08:19.127240,1395,1
235,5,943,378,2025-06-27 10:34:47.127247,117,2025-06-27 10:36:44.127247,945,1
236,17,1272,4,2025-05-08 11:04:42.127255,207,2025-05-08 11:08:09.127255,1201,1
237,49,2136,65,2025-11-19 19:17:09.127263,265,2025-11-19 19:21:34.127263,3491,1
238,34,434,217,2025-04-13 14:11:13.127270,203,2025-04-13 14:14:36.127270,157,3
239,2,2468,398,2024-11-24 09:57:43.127278,231,2024-11-24 10:01:34.127278,165,2
240,7,429,291,2025-02-25 12:28:44.127286,131,2025-02-25 12:30:55.127286,285,1
241,36,1188,117,2025-10-31 19:51:33.127294,145,2025-10-31 19:53:58.127294,2710,1
242,13,1519,85,2024-12-31 19:45:42.127302,233,2024-12-31 19:49:35.127302,3308,2
243,20,162,308,2025-10-03 15:44:19.127310,217,2025-10-03 15:47:56.127310,3123,2
244,30,2313,279,2025-04-11 09:38:00.127318,52,2025-04-11 09:38:52.127318,2112,5
245,30,1996,366,2025-10-31 21:24:49.127325,102,2025-10-31 21:26:31.127325,327,5
246,11,2158,276,2025-08-13 12:23:58.127333,161,2025-08-13 12:26:39.127333,2794,5
247,31,1876,346,2025-07-25 12:05:01.127341,250,2025-07-25 12:09:11.127341,817,5
248,3,900,283,2025-04-23 09:00:21.127349,184,2025-04-23 09:03:25.127349,3194,5
249,2,1743,169,2025-08-18 19:42:04.127357,228,2025-08-18 19:45:52.127357,2914,3
250,48,1343,388,2025-08-04 10:51:53.127364,72,2025-08-04 10:53:05.127364,928,2
251,3,1156,26,2024-12-19 11:46:10.127373,255,2024-12-19 11:50:25.127373,157,2
252,15,394,364,2025-11-02 15:32:06.127380,41,2025-11-02 15:32:47.127380,354,1
253,17,1729,40,2025-06-10 14:35:40.127388,120,2025-06-10 14:37:40.127388,2586,2
254,48,722,208,2025-08-19 18:13:59.127396,115,2025-08-19 18:15:54.127396,2453,4
255,7,1396,363,2025-02-20 15:27:07.127404,103,2025-02-20 15:28:50.127404,3545,5
256,48,2041,84,2025-07-29 12:06:22.127412,241,2025-07-29 12:10:23.127412,2612,4
257,5,2079,238,2025-06-12 11:00:25.127420,186,2025-06-12 11:03:31.127420,1294,4
258,34,1198,344,2024-12-25 14:00:24.127437,248,2024-12-25 14:04:32.127437,2516,1
259,33,1734,194,2025-08-08 16:14:04.127445,40,2025-08-08 16:14:44.127445,846,4
260,45,2154,329,2024-12-23 13:41:39.127453,58,2024-12-23 13:42:37.127453,2941,3
261,16,1120,338,2025-05-20 09:04:56.127461,153,2025-05-20 09:07:29.127461,3599,4
262,37,1017,362,2025-08-05 15:19:49.127474,137,2025-08-05 15:22:06.127474,2285,5
263,3,1054,350,2025-01-22 16:06:45.127482,177,2025-01-22 16:09:42.127482,3166,1
264,47,161,259,2025-02-23 21:59:54.127490,72,2025-02-23 22:01:06.127490,2384,3
265,48,1330,192,2025-02-06 11:16:06.127498,99,2025-02-06 11:17:45.127498,489,3
266,43,1647,285,2025-01-21 14:40:44.127506,165,2025-01-21 14:43:29.127506,874,1
267,50,2244,182,2025-05-10 19:59:49.127516,202,2025-05-10 20:03:11.127516,3557,4
268,21,2386,7,2024-12-04 11:21:11.127524,219,2024-12-04 11:24:50.127524,3093,2
269,41,1162,153,2025-01-03 21:56:44.127532,212,2025-01-03 22:00:16.127532,1993,5
270,8,2495,299,2025-06-15 19:30:04.127539,120,2025-06-15 19:32:04.127539,260,4
271,22,1334,262,2025-06-06 09:38:58.127547,223,2025-06-06 09:42:41.127547,954,5
272,5,1203,399,2025-01-29 16:24:32.127555,44,2025-01-29 16:25:16.127555,1860,5
273,17,337,79,2025-01-01 20:14:32.127563,296,2025-01-01 20:19:28.127563,557,4
274,37,2180,40,2025-01-28 20:00:14.127571,198,2025-01-28 20:03:32.127571,2082,4
275,14,2297,189,2025-11-14 18:48:57.127579,108,2025-11-14 18:50:45.127579,1687,3
276,39,63,379,2025-09-22 13:15:47.127587,248,2025-09-22 13:19:55.127587,200,1
277,41,819,277,2025-04-19 21:15:39.127595,263,2025-04-19 21:20:02.127595,2570,5
278,28,1416,250,2025-10-15 09:08:23.127603,144,2025-10-15 09:10:47.127603,1110,4
279,31,2305,314,2025-03-14 13:12:09.127611,42,2025-03-14 13:12:51.127611,3198,3
280,17,1272,109,2025-05-16 12:41:02.127619,178,2025-05-16 12:44:00.127619,817,1
281,35,1288,96,2025-07-26 20:38:28.127627,296,2025-07-26 20:43:24.127627,771,4
282,40,849,32,2025-06-09 11:17:20.127636,43,2025-06-09 11:18:03.127636,1985,2
283,22,361,268,2024-12-30 21:48:02.127644,279,2024-12-30 21:52:41.127644,1917,3
284,45,2036,236,2025-03-03 21:26:41.127652,216,2025-03-03 21:30:17.127652,1741,3
285,48,1975,393,2025-06-30 21:01:14.127660,98,2025-06-30 21:02:52.127660,1743,5
286,29,2227,20,2025-06-08 14:15:13.127668,137,2025-06-08 14:17:30.127668,543,5
287,10,1936,399,2025-02-21 09:58:58.127676,221,2025-02-21 10:02:39.127676,2217,3
288,18,949,205,2024-12-19 12:51:43.127684,110,2024-12-19 12:53:33.127684,3471,4
289,35,1530,238,2024-12-03 20:14:38.127692,226,2024-12-03 20:18:24.127692,452,1
290,44,1851,392,2025-05-13 17:20:11.127700,54,2025-05-13 17:21:05.127700,2642,2
291,16,1837,21,2025-04-12 19:00:04.127708,169,2025-04-12 19:02:53.127708,3548,4
292,50,292,301,2025-03-18 10:12:03.127716,40,2025-03-18 10:12:43.127716,2089,2
293,49,588,217,2025-01-04 11:13:08.127724,123,2025-01-04 11:15:11.127724,703,3
